index,area,date,href,name,price
0,"['Mumbai Central, Mumbai']",['19  Feb\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/casio-fx-991ms-scientific-calculator-in-new-ID19MTLL.html#af53677832'],0,['\n\t\t\t\t\t\t\t\t300\t\t\t\t\t\t\t\t']
1,"['Kurla West, Mumbai']",['17  Feb\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/fx-991ms-scientific-calculator-price-is-ID1axw9F.html#af53677832'],1,['\n\t\t\t\t\t\t\t\t500\t\t\t\t\t\t\t\t']
2,"['Mumbai Central, Mumbai']",['12  Feb\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/scientific-calculator-casio-fx-82ms-ID19Oip9.html#af53677832'],2,['\n\t\t\t\t\t\t\t\t200\t\t\t\t\t\t\t\t']
3,"['Mumbai Central, Mumbai']",['7  Feb\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/casio-fx-991ms-scientific-calculator-ID19uoOP.html#af53677832'],3,['\n\t\t\t\t\t\t\t\t300\t\t\t\t\t\t\t\t']
4,"['Kandivali West, Mumbai']",['6  Feb\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/gray-and-black-casio-scientific-calculator-ID18yfSx.html#af53677832'],4,['\n\t\t\t\t\t\t\t\t550\t\t\t\t\t\t\t\t']
5,"['Jogeshwari, Mumbai']",['15  Dec\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/casio-scientific-calculator-fx-991-ID18JZYR.html#af53677832'],5,['\n\t\t\t\t\t\t\t\t500\t\t\t\t\t\t\t\t']
6,"['Andheri West, Mumbai']",['24  Nov\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/scientific-calculator-new-condition-ID18qupN.html#af53677832'],6,['\n\t\t\t\t\t\t\t\t3500\t\t\t\t\t\t\t\t']
7,"['Bandra, Mumbai']",['15  Nov\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/casio-fx82ms-10-2-digit-scientific-calculator-with-multi-replay-func-ID184x5t.html#af53677832'],7,['\n\t\t\t\t\t\t\t\t300\t\t\t\t\t\t\t\t']
8,"['Malad, Mumbai']",['15  Nov\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/casio-fx-991-es-scientific-calculator-jst-for-rs-700-ID18ixfR.html#af53677832'],8,['\n\t\t\t\t\t\t\t\t700\t\t\t\t\t\t\t\t']
9,[],[],[],9,[]
10,[],[],[],10,[]
11,[],[],[],11,[]
12,[],[],[],12,[]
13,[],[],[],13,[]
14,[],[],[],14,[]
15,[],[],[],15,[]
16,[],[],[],16,[]
17,[],[],[],17,[]
18,[],[],[],18,[]
19,[],[],[],19,[]
20,[],[],[],20,[]
21,[],[],[],21,[]
22,[],[],[],22,[]
23,[],[],[],23,[]
24,[],[],[],24,[]
25,[],[],[],25,[]
26,[],[],[],26,[]
27,[],[],[],27,[]
28,[],[],[],28,[]
29,[],[],[],29,[]
30,[],[],[],30,[]
31,[],[],[],31,[]
32,[],[],[],32,[]
33,[],[],[],33,[]
34,[],[],[],34,[]
35,[],[],[],35,[]
36,[],[],[],36,[]
37,[],[],[],37,[]
38,"['Borivali, Mumbai']",['Yesterday\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/casio-fx-991es-scientific-calculator-two-way-powered-ID1cr6p9.html#59915fb10a'],38,['\n\t\t\t\t\t\t\t\t500\t\t\t\t\t\t\t\t']
