area,date,href,price,name
"Borivali, Mumbai",Yesterday						    						,https://www.olx.in/item/casio-fx-991es-scientific-calculator-two-way-powered-ID1cr6p9.html#59915fb10a,"
								500								",Casio Fx-991es Scientific Calculator (two Way Powered)
"Vidya Vihar, Mumbai",Yesterday						    						,https://www.olx.in/item/grey-and-white-casio-scientific-calculator-ID1cqDpD.html#59915fb10a,"
								700								",Grey And White Casio Scientific Calculator
"Dahisar, Mumbai",14  Jun						    						,https://www.olx.in/item/casio-fx-82-ms-scientific-calculator-2017-model-ID1cpJB5.html#59915fb10a,"
								300								",Casio fx - 82 MS Scientific calculator 2017 Model
"Bhandup Industrial Area, Mumbai",13  Jun						    						,https://www.olx.in/item/casio-scientific-calculator-fx-991ms-ID1brqpx.html#59915fb10a,"
								420								",Casio Scientific Calculator Fx-991MS
"Malad, Mumbai",11  Jun						    						,https://www.olx.in/item/casio-fx-991es-scientific-calculator-working-properly-ID1c4A21.html#59915fb10a,"
								400								",casio fx-991ES scientific calculator working properly
"Malad, Mumbai",11  Jun						    						,https://www.olx.in/item/scientific-engineering-calculator-casio-fx-991ms-ID1clAkz.html#59915fb10a,"
								450								",Scientific Engineering calculator CASIO fx 991MS
"Kurla West, Mumbai",11  Jun						    						,https://www.olx.in/item/casio-scientific-calculator-fx991-es-ID1cleP9.html#59915fb10a,"
								430								",Casio Scientific Calculator fx991 ES
"Andheri, Mumbai",10  Jun						    						,https://www.olx.in/item/black-and-gray-ba-2-plus-scientific-calculator-in-pack-ID1ckfPP.html#59915fb10a,"
								2300								",Black And Gray BA 2-PLus Scientific Calculator In Pack
"Andheri East, Mumbai",8  Jun						    						,https://www.olx.in/item/casio-scientific-calculator-fx-100z-ID1ci2H7.html#59915fb10a,"
								100								",Casio Scientific Calculator FX-100Z
"Gamdevi, Mumbai",8  Jun						    						,https://www.olx.in/item/casio-scientific-calculator-ID1chozX.html#59915fb10a,"
								1300								",Casio scientific calculator
"Chuna Bhati, Mumbai",8  Jun						    						,https://www.olx.in/item/fx-991es-scientific-calculator-ID1ch4ll.html#59915fb10a,"
								450								",fx-991ES Scientific Calculator
"Powai, Mumbai",7  Jun						    						,https://www.olx.in/item/casio-fx-991ms-scientific-calculator-ID1cgwoB.html#59915fb10a,"
								400								",Casio fx-991MS scientific calculator
"Borivali West, Mumbai",5  Jun						    						,https://www.olx.in/item/casio-fx-991-ms-scientific-calculator-brand-new-box-packed-item-ID1c78bZ.html#59915fb10a,"
								650								",Casio FX-991 MS Scientific Calculator. Brand new box packed item
"Mulund, Mumbai",4  Jun						    						,https://www.olx.in/item/grey-and-black-casio-scientific-calculator-ID1aX3fj.html#59915fb10a,"
								400								",Grey And Black Casio Scientific Calculator
"Andheri, Mumbai",4  Jun						    						,https://www.olx.in/item/full-working-condition-scientific-calculator-ID1c5Nrf.html#59915fb10a,"
								1000								",Full working condition scientific calculator
"Tilak Nagar, Mumbai",3  Jun						    						,https://www.olx.in/item/scientific-calculator-second-hand-for-sale-no-ID1cbJEh.html#59915fb10a,"
								300								","scientific calculator, second hand for sale. no"
"Mulund West, Mumbai",2  Jun						    						,https://www.olx.in/item/black-casio-scientific-calculator-ID1c3wl7.html#59915fb10a,"
								200								",Black Casio Scientific Calculator
"Dadar East, Mumbai",2  Jun						    						,https://www.olx.in/item/casio-scientific-calculator-fully-working-ID1c3gRb.html#59915fb10a,"
								500								",casio scientific calculator fully working
"Mumbai Central, Mumbai",1  Jun						    						,https://www.olx.in/item/casio-fx-991es-scientific-calculator-in-excellent-ID1bRMof.html#59915fb10a,"
								450								",Casio fx-991es scientific calculator in excellent
"Mumbai Central, Mumbai",31  May						    						,https://www.olx.in/item/scientific-calculator-casio-fx-991es-ID1c0O2r.html#59915fb10a,"
								250								",Scientific calculator casio fx-991es.
"Borivali, Mumbai",30  May						    						,https://www.olx.in/item/casio-scientific-calculator-ID1bZTLh.html#59915fb10a,"
								350								",Casio Scientific Calculator
"Kandivali West, Mumbai",30  May						    						,https://www.olx.in/item/fx-99ies-scientific-calculator-ID1bZJ7H.html#59915fb10a,"
								600								",FX-99IES Scientific calculator
"Mumbai Central, Mumbai",30  May						    						,https://www.olx.in/item/black-casio-scientific-calculator-fx-82-ms-ID19yTpz.html#59915fb10a,"
								200								",Black Casio Scientific Calculator fx-82 Ms.
